"otu"	"superkingdom"	"phylum"	"clade"	"order"	"family"	"genus"	"species"
92860	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"unidentified"	"unidentified"	"unidentified"
28556	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"unidentified"	"unidentified"
95729	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"unidentified"
119933	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_vesicarium"
183480	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_trifolii"
110364	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_solani"
183473	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_triglochinicola"
245170	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_globuliferum"
120510	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Stemphylium"	"Stemphylium_botryosum"
5598	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"unidentified"
5599	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_alternata"
467977	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_thalictrigena"
283364	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_cucurbitae"
230011	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_hyacinthi"
566458	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_cetera"
160388	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_dianthicola"
29001	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_brassicicola"
1118474	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	"Alternaria_dennisii"
5502	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"unidentified"
1056642	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_tuberculata"
1089310	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_malina"
1537989	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_papendorfii"
91367	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_coicis"
2739211	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_arcana"
1538004	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_tropicalis"
145392	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_spicifera"
1538002	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Curvularia"	"Curvularia_portulacae"
1342378	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Comoclathris"	"unidentified"
2709055	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Comoclathris"	"Comoclathris_arrhenatheri"
1342520	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Paradendryphiella"	"unidentified"
179392	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Paradendryphiella"	"Paradendryphiella_salina"
156293	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Paradendryphiella"	"Paradendryphiella_arenariae"
45297	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Pyrenophora"	"Pyrenophora_trichostoma"
139238	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Pyrenophora"	"Pyrenophora_bromi"
2591517	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Pyrenophora"	"Pyrenophora_pseudoerythrospila"
280464	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Exserohilum"	"Exserohilum_holmii"
1917190	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Exserohilum"	"Exserohilum_khartoumense"
95746	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Exserohilum"	"Exserohilum_minor"
33194	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Bipolaris"	"unidentified"
2051578	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Bipolaris"	"Bipolaris_brachiariae"
74611	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Bipolaris"	"Bipolaris_urochloae"
184978	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Decorospora"	"Decorospora_gaudefroyi"
461172	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Pleosporaceae"	"Edenia"	"Edenia_gomezpompae"
683158	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"unidentified"	"unidentified"
104397	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Epicoccum"	"unidentified"
105696	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Epicoccum"	"Epicoccum_nigrum"
749839	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Epicoccum"	"Epicoccum_henningsii"
646064	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Didymella"	"Didymella_gardeniae"
749589	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Didymella"	"Didymella_pinodes"
749621	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Didymella"	"Didymella_glomerata"
100019	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Didymella"	"Didymella_exigua"
2698361	"Eukaryota"	"Ascomycota"	"dothideomyceta"	"Pleosporales"	"Didymellaceae"	"Didymella"	"Didymella_subrosea"
