Sample_ID	ID_S	Name	run_name	flowcell	barcode	Site_A	Site	Field	date	Year	Month	Week	DOY	SampleType	S_vesicarium	P_desttructor	B_squamosa	comments
O_57	O_57	vanw_2022_9	VANW_2022_R1	FAS76472	57	VANW	E	71	2022-06-26	2022	6	27	176	Field	3	0	0	
O_58	O_58	vanw_2022_10	VANW_2022_R1	FAS76472	58	VANW	E	71	2022-06-28	2022	6	27	178	Field	1	0	0	
O_59	O_59	vanw_2022_11	VANW_2022_R1	FAS76472	59	VANW	E	71	2022-06-30	2022	6	27	180	Field	0	0	0	
O_60	O_60	vanw_2022_12	VANW_2022_R1	FAS76472	60	VANW	E	71	2022-07-03	2022	7	28	183	Field	2	0	0	
O_61	O_61	vanw_2022_13	VANW_2022_R1	FAS76472	61	VANW	E	71	2022-07-05	2022	7	28	185	Field	0	0	0	
O_62	O_62	vanw_2022_14	VANW_2022_R1	FAS76472	62	VANW	E	71	2022-07-10	2022	7	29	190	Field	0	0	0	
O_63	O_63	vanw_2022_15	VANW_2022_R1	FAS76472	63	VANW	E	71	2022-07-12	2022	7	29	192	Field	0	0	0	
O_64	O_64	vanw_2022_16	VANW_2022_R1	FAS76472	64	VANW	E	71	2022-07-14	2022	7	29	194	Field	0	0	0	
N_65	N_65	vanw_2022_17	VANW_2022_R2	FAS17269	65	VANW	E	71	2022-07-17	2022	7	30	197	Field	1	0	0	
N_66	N_66	vanw_2022_18	VANW_2022_R2	FAS17269	66	VANW	E	71	2022-07-19	2022	7	30	199	Field	10	0	0	
N_67	N_67	vanw_2022_19	VANW_2022_R2	FAS17269	67	VANW	E	71	2022-07-21	2022	7	30	201	Field	0	0	0,830302119	
N_68	N_68	vanw_2022_20	VANW_2022_R2	FAS17269	68	VANW	E	71	2022-07-24	2022	7	31	204	Field	0	0	0	
N_69	N_69	vanw_2022_21	VANW_2022_R2	FAS17269	69	VANW	E	71	2022-07-26	2022	7	31	206	Field	8	7	0	
N_70	N_70	vanw_2022_22	VANW_2022_R2	FAS17269	70	VANW	E	71	2022-07-28	2022	7	31	208	Field	21	8	0	
N_71	N_71	vanw_2022_23	VANW_2022_R2	FAS17269	71	VANW	E	71	2022-07-31	2022	7	32	211	Field	3	7	0	
N_72	N_72	vanw_2022_24	VANW_2022_R2	FAS17269	72	VANW	E	71	2022-08-02	2022	8	32	213	Field	0	0	0	
N_73	N_73	vanw_2022_25	VANW_2022_R2	FAS17269	73	VANW	E	71	2022-08-04	2022	8	32	215	Field	5	0	0	
N_74	N_74	vanw_2022_26	VANW_2022_R2	FAS17269	74	VANW	E	71	2022-08-07	2022	8	33	218	Field	290	0	5,137137413	
N_75	N_75	vanw_2022_27	VANW_2022_R2	FAS17269	75	VANW	E	71	2022-08-09	2022	8	33	220	Field	60	0	3,244264448	
N_76	N_76	vanw_2022_28	VANW_2022_R2	FAS17269	76	VANW	E	71	2022-08-11	2022	8	33	222	Field	1111	0	26	
N_77	N_77	vanw_2022_29	VANW_2022_R2	FAS17269	77	VANW	E	71	2022-08-14	2022	8	34	225	Field	1088	1	0	
N_78	N_78	vanw_2022_30	VANW_2022_R2	FAS17269	78	VANW	E	71	2022-08-16	2022	8	34	227	Field	215	0	17	
W_33	W_33	diec_2022_1	DIEC_2022_R1	FAT26133	33	DIEC	F	21	2022-06-05	2022	6	24	155	Field	0	1	0	
W_34	W_34	diec_2022_2	DIEC_2022_R1	FAT26133	34	DIEC	F	21	2022-06-09	2022	6	24	159	Field	0	0	1	
W_35	W_35	diec_2022_3	DIEC_2022_R1	FAT26133	35	DIEC	F	21	2022-06-12	2022	6	25	162	Field	0	0	1	
W_36	W_36	diec_2022_4	DIEC_2022_R1	FAT26133	36	DIEC	F	21	2022-06-14	2022	6	25	164	Field	0	0	0	
W_37	W_37	diec_2022_5	DIEC_2022_R1	FAT26133	37	DIEC	F	21	2022-06-16	2022	6	25	166	Field	0	0	0	
W_38	W_38	diec_2022_6	DIEC_2022_R1	FAT26133	38	DIEC	F	21	2022-06-19	2022	6	26	169	Field	0	0	0	
W_39	W_39	diec_2022_7	DIEC_2022_R1	FAT26133	39	DIEC	F	21	2022-06-21	2022	6	26	171	Field	0	0	0	
W_40	W_40	diec_2022_8	DIEC_2022_R1	FAT26133	40	DIEC	F	21	2022-06-23	2022	6	26	173	Field	0	0	0	
W_41	W_41	diec_2022_9	DIEC_2022_R1	FAT26133	41	DIEC	F	21	2022-06-26	2022	6	27	176	Field	1	0	0	
W_42	W_42	diec_2022_10	DIEC_2022_R1	FAT26133	42	DIEC	F	21	2022-06-28	2022	6	27	178	Field	0	0	0	
W_43	W_43	diec_2022_11	DIEC_2022_R1	FAT26133	43	DIEC	F	21	2022-06-30	2022	6	27	180	Field	0	0	0	
W_44	W_44	diec_2022_12	DIEC_2022_R1	FAT26133	44	DIEC	F	21	2022-07-03	2022	7	28	183	Field	0	0	0	
W_45	W_45	diec_2022_13	DIEC_2022_R1	FAT26133	45	DIEC	F	21	2022-07-05	2022	7	28	185	Field	0	0	0	
W_46	W_46	diec_2022_14	DIEC_2022_R1	FAT26133	46	DIEC	F	21	2022-07-07	2022	7	28	187	Field	1	0	0	
W_47	W_47	diec_2022_15	DIEC_2022_R1	FAT26133	47	DIEC	F	21	2022-07-10	2022	7	29	190	Field	0	0	0	
W_48	W_48	diec_2022_16	DIEC_2022_R1	FAT26133	48	DIEC	F	21	2022-07-12	2022	7	29	192	Field	2	0	4	
V_49	V_49	diec_2022_17	DIEC_2022_R2	FAT24841	49	DIEC	F	21	2022-07-14	2022	7	29	194	Field	2	0	0	
V_50	V_50	diec_2022_18	DIEC_2022_R2	FAT24841	50	DIEC	F	21	2022-07-17	2022	7	30	197	Field	0	13	0	
V_51	V_51	diec_2022_19	DIEC_2022_R2	FAT24841	51	DIEC	F	21	2022-07-19	2022	7	30	199	Field	18	0	0	
V_52	V_52	diec_2022_20	DIEC_2022_R2	FAT24841	52	DIEC	F	21	2022-07-21	2022	7	30	201	Field	0	0	0	
V_53	V_53	diec_2022_21	DIEC_2022_R2	FAT24841	53	DIEC	F	21	2022-07-24	2022	7	31	204	Field	2	6	0	
V_54	V_54	diec_2022_22	DIEC_2022_R2	FAT24841	54	DIEC	F	21	2022-07-26	2022	7	31	206	Field	0	22	0	
V_55	V_55	diec_2022_23	DIEC_2022_R2	FAT24841	55	DIEC	F	21	2022-07-28	2022	7	31	208	Field	17	860	0	
V_56	V_56	diec_2022_24	DIEC_2022_R2	FAT24841	56	DIEC	F	21	2022-07-31	2022	7	32	211	Field	3	482	0	
V_57	V_57	diec_2022_25	DIEC_2022_R2	FAT24841	57	DIEC	F	21	2022-08-02	2022	8	32	213	Field	1	59	0	
V_58	V_58	diec_2022_26	DIEC_2022_R2	FAT24841	58	DIEC	F	21	2022-08-04	2022	8	32	215	Field	1	0	0	
V_59	V_59	diec_2022_27	DIEC_2022_R2	FAT24841	59	DIEC	F	21	2022-08-07	2022	8	33	218	Field	760	0	51	
V_60	V_60	diec_2022_28	DIEC_2022_R2	FAT24841	60	DIEC	F	21	2022-08-09	2022	8	33	220	Field	4	0	0	
V_61	V_61	diec_2022_29	DIEC_2022_R2	FAT24841	61	DIEC	F	21	2022-08-11	2022	8	33	222	Field	244	36	0	
V_62	V_62	diec_2022_30	DIEC_2022_R2	FAT24841	62	DIEC	F	21	2022-08-14	2022	8	34	225	Field	93	385	0	
V_63	V_63	diec_2022_31	DIEC_2022_R2	FAT24841	63	DIEC	F	21	2022-08-16	2022	8	34	227	Field	20	202	0	
V_64	V_64	diec_2022_32	DIEC_2022_R2	FAT24841	64	DIEC	F	21	2022-08-18	2022	8	34	229	Field	295	35	0	
M_01	M_1	delf_2021_1	DELF_2021_R1	FAS13377	1	DELF	B	60	2021-06-03	2021	6	23	153	Field	0	0	0	
M_02	M_2	delf_2021_2	DELF_2021_R1	FAS13377	2	DELF	B	60	2021-06-06	2021	6	24	156	Field	0	0	0	
M_03	M_3	delf_2021_3	DELF_2021_R1	FAS13377	3	DELF	B	60	2021-06-08	2021	6	24	158	Field	0	0	0	
M_04	M_4	delf_2021_4	DELF_2021_R1	FAS13377	4	DELF	B	60	2021-06-10	2021	6	24	160	Field	0	0	0	
M_05	M_5	delf_2021_5	DELF_2021_R1	FAS13377	5	DELF	B	60	2021-06-13	2021	6	25	163	Field	0	0	0	
M_06	M_6	delf_2021_6	DELF_2021_R1	FAS13377	6	DELF	B	60	2021-06-15	2021	6	25	165	Field	0	0	0	
